Data/Bubble/Dump/bubble-749608.cpp,49%,Data/Bubble/Dump/bubble-1115420.cpp,50%
Data/Bubble/Dump/bubble-1749345.cpp,41%,Data/Bubble/Dump/bubble-920644.cpp,49%
Data/Insertion/Dump/insertion-771410.cpp,35%,Data/Insertion/Dump/insertion-2925331.cpp,42%
Data/Insertion/Dump/insertion-771410.cpp,35%,Data/Insertion/Dump/insertion-1940906.cpp,34%
Data/Insertion/Dump/insertion-375520.cpp,45%,Data/Insertion/Dump/insertion-906336.cpp,38%
Data/Insertion/Dump/insertion-2144895.cpp,38%,Data/Insertion/Dump/insertion-4562452.cpp,36%
Data/Bubble/Dump/bubble-2624647.cpp,48%,Data/Insertion/Dump/insertion-2624632.cpp,38%
Data/Bubble/Dump/bubble-1942176.cpp,39%,Data/Bubble/Dump/bubble-1571428.cpp,40%
Data/Bubble/Dump/bubble-2848234.cpp,39%,Data/Insertion/Dump/insertion-1799419.cpp,37%
Data/Bubble/Dump/bubble-2848234.cpp,39%,Data/Bubble/Dump/bubble-1806828.cpp,40%
Data/Insertion/Dump/insertion-771410.cpp,33%,Data/Insertion/Dump/insertion-1732062.cpp,44%
Data/Insertion/Dump/insertion-758124.cpp,45%,Data/Insertion/Dump/insertion-771410.cpp,33%
Data/Insertion/Dump/insertion-670822.cpp,38%,Data/Insertion/Dump/insertion-2705852.cpp,35%
Data/Insertion/Dump/insertion-1831723.cpp,31%,Data/Insertion/Dump/insertion-878332.cpp,27%
Data/Insertion/Dump/insertion-1732062.cpp,44%,Data/Insertion/Dump/insertion-1973405.cpp,33%
Data/Bubble/Dump/bubble-2398015.cpp,44%,Data/Bubble/Dump/bubble-2497341.cpp,44%
Data/Bubble/Dump/bubble-1749328.cpp,41%,Data/Bubble/Dump/bubble-920644.cpp,45%
Data/Bubble/Dump/bubble-1601459.cpp,28%,Data/Insertion/Dump/insertion-1601400.cpp,20%
Data/Bubble/Dump/bubble-4090656.cpp,38%,Data/Insertion/Dump/insertion-3324593.cpp,45%
Data/Bubble/Dump/bubble-2925584.cpp,43%,Data/Bubble/Dump/bubble-2705981.cpp,36%
Data/Bubble/Dump/bubble-1749328.cpp,40%,Data/Bubble/Dump/bubble-379269.cpp,39%
Data/Bubble/Dump/bubble-2378794.cpp,43%,Data/Bubble/Dump/bubble-1130378.cpp,43%
Data/Insertion/Dump/insertion-3436121.cpp,38%,Data/Insertion/Dump/insertion-1973405.cpp,32%
Data/Bubble/Dump/bubble-2086970.cpp,41%,Data/Insertion/Dump/insertion-2086942.cpp,37%
